DAMAGE,ZIPCODE,ROOFCONSTR,EAVES,VENTSCREEN,EXTERIORSI,WINDOWPANE,DECKPORCHO,DECKPORCHE,PATIOCOVER,FENCEATTAC,YEARBUILT,VSD,LATITUDE,LONGITUDE,Distance,EMBER,FLAME
Destroyed (>50%),,Asphalt,Unknown,"Mesh Screen > 1/8""",Ignition Resistant,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,0,39.77738401,-121.5975588,25.95041099,1,2.202758
Destroyed (>50%),,Asphalt,Unknown,"Mesh Screen > 1/8""",Ignition Resistant,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,0,39.77749532,-121.5972924,25.95041099,,0.861729
Destroyed (>50%),,Metal,No Eaves,No Vents,Combustible,Multi Pane,No Deck/Porch,Wood,Combustible,No Fence,,,39.78523001,-121.5283298,149.6155316,8,36.368057
No Damage,,,,,,,,,,,,1,39.7780985,-121.6646726,179.4624007,,
Destroyed (>50%),,Metal,No Eaves,Unknown,Ignition Resistant,Multi Pane,Wood,No Deck/Porch,Combustible,No Fence,,,39.78612852,-121.511346,21.08893197,4,24.328623
Destroyed (>50%),,Asphalt,Unknown,"Mesh Screen <= 1/8""",Combustible,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,39.78606522,-121.5115782,21.08893197,7,2.352898
No Damage,,,,,,,,,,,,,39.78069338,-121.6652935,99.9008593,,
No Damage,,,,,,,,,,,,1,39.78092321,-121.6627326,121.9711309,,
Destroyed (>50%),,Asphalt,No Eaves,Unknown,Combustible,Multi Pane,Wood,No Deck/Porch,Combustible,No Fence,,0,39.7867589,-121.5131644,9.218993823,3,20.405241
Destroyed (>50%),,Asphalt,Unknown,Unknown,Combustible,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,39.78679931,-121.5132585,9.218993823,2,1.995116
Destroyed (>50%),,Asphalt,Unknown,Unknown,Combustible,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,39.78693152,-121.5132618,14.67954055,2,20.291115
Destroyed (>50%),,Asphalt,Unknown,Unknown,Combustible,Multi Pane,Wood,No Deck/Porch,Combustible,No Fence,,0,39.78709408,-121.5124848,19.36917062,2,2.140884
Destroyed (>50%),,Metal,Unenclosed,"Mesh Screen <= 1/8""",Combustible,Single Pane,Masonry/Concrete,Masonry/Concrete,Unknown,Unknown,,0,39.78678093,-121.5029396,16.23287529,9,0.789113
Destroyed (>50%),,Metal,Unknown,Unknown,Combustible,Single Pane,Masonry/Concrete,Masonry/Concrete,Unknown,No Fence,,0,39.78688223,-121.5028029,16.23287529,9,0.789113
Destroyed (>50%),,Asphalt,Unenclosed,No Vents,Combustible,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,3,39.78701582,-121.5033446,43.38866322,3,
Destroyed (>50%),,Metal,No Eaves,Unknown,Combustible,Unknown,No Deck/Porch,Wood,Combustible,No Fence,,,39.78803874,-121.5135798,49.00881483,4,24.287739
Destroyed (>50%),,Asphalt,No Eaves,Unscreened,Ignition Resistant,Single Pane,Wood,No Deck/Porch,No Patio Cover/Carport,No Fence,,3,39.78643589,-121.5021626,12.1701112,5,3.283386
Destroyed (>50%),,Asphalt,Unknown,No Vents,Combustible,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,1,39.78662459,-121.5020691,22.42457677,5,3.283386
Destroyed (>50%),,Asphalt,Unenclosed,No Vents,Combustible,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,1,39.78634013,-121.5020934,12.1701112,5,2.441898
Destroyed (>50%),,Asphalt,Unknown,Unknown,Ignition Resistant,Unknown,Wood,No Deck/Porch,Combustible,No Fence,,0,39.78754424,-121.5012874,10.52404746,4,35.443306
Destroyed (>50%),,Asphalt,Unknown,Unknown,Combustible,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,0,39.78761886,-121.5013632,10.52404746,4,35.443306
Destroyed (>50%),,Metal,No Eaves,No Vents,Ignition Resistant,No Windows,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,,0,39.78875536,-121.4973988,93.16601547,6,6.1386
Destroyed (>50%),,Metal,Unenclosed,"Mesh Screen > 1/8""",Combustible,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,1,39.78909895,-121.4964062,93.16601547,8,4.968277
Destroyed (>50%),,Metal,No Eaves,No Vents,Combustible,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,,0,39.78804302,-121.5003295,30.16105627,6,1.04124
Destroyed (>50%),,Metal,No Eaves,No Vents,Combustible,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,0,39.78807818,-121.4999803,30.16105627,3,36.371197
Destroyed (>50%),,Metal,Unknown,Unknown,Combustible,Unknown,Wood,No Deck/Porch,Combustible,No Fence,,0,39.78825845,-121.5010388,12.30886689,8,2.860668
