DAMAGE,ZIPCODE,ROOFCONSTR,EAVES,VENTSCREEN,EXTERIORSI,WINDOWPANE,DECKPORCHO,DECKPORCHE,PATIOCOVER,FENCEATTAC,YEARBUILT,FLAME,EMBER,LATITUDE,LONGITUDE,Distance,VSD
Destroyed (>50%),95492,Asphalt,Enclosed,"Mesh Screen > 1/8""",Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1980,,,38.5703072,-122.8239926,87.72644697,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1976,,,38.5687594,-122.7962369,87.72644697,0
No Damage,95448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1893,,,38.66198871,-122.8007595,86.44944033,0
No Damage,95448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1893,,,38.6616934,-122.8003815,86.44944033,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1977,,,38.56624305,-122.8007619,86.37437015,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1975,,,38.56882915,-122.7974188,85.67260366,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1960,,,38.6141494,-122.7711916,85.60583548,0
No Damage,95448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1969,,,38.58775185,-122.8343357,85.00218425,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1977,,,38.56843375,-122.7958881,85.00218425,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1977,,1,38.5680668,-122.7960856,84.47054224,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1989,,,38.5579934,-122.7890666,84.4585943,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1989,,,38.55759985,-122.7890108,84.4585943,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1999,,,38.5632691,-122.7994756,84.27598715,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1993,,,38.5631628,-122.7999599,84.20936277,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2004,,,38.5652275,-122.7998072,83.97461768,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1989,,,38.556446,-122.7862076,83.97461768,0
No Damage,95448,Asphalt,No Eaves,Unknown,Wood,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,,,,38.63853354,-122.7855033,83.39731533,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1989,1.366012812,,38.5597636,-122.7897081,83.04250187,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1989,,,38.55993855,-122.7901059,83.04250187,0
No Damage,95411,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,38.65650469,-122.8060552,82.82755396,0
No Damage,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1959,0.615319312,,38.625399,-122.7707565,82.63338631,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1976,,,38.56638845,-122.800266,82.63338631,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1977,,,38.5666985,-122.8000573,82.60678877,0
Destroyed (>50%),,Metal,Unenclosed,"Mesh Screen > 1/8""",Other,Single Pane,No Deck/Porch,No Deck/Porch,Combustible,No Fence,,,,38.62301114,-122.7831566,82.60678877,0
Destroyed (>50%),,Metal,No Eaves,No Vents,Metal,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,,38.6229139,-122.7835824,81.54776586,0
No Damage,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2002,,,38.60586057,-122.6896905,79.84210479,0
No Damage,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2002,,,38.605593,-122.689409,79.84210479,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1990,,,38.55620895,-122.7880179,79.21057898,0
Destroyed (>50%),95492,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Wood,Single Pane,Masonry/Concrete,No Deck/Porch,Unknown,No Fence,1975,2.152650118,,38.63536485,-122.7721116,78.44770527,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1945,1.565579772,,38.5712395,-122.7746887,78.44770527,0
Destroyed (>50%),95492,Metal,Unknown,No Vents,Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,1.366887689,,38.57157773,-122.7746337,77.14371667,0
No Damage,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1987,,,38.62281163,-122.8156144,77.11139863,0
No Damage,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1987,,,38.62298714,-122.8159869,77.08308022,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1989,1.820441604,,38.5585623,-122.789162,77.08308022,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1989,2.276689768,,38.5588936,-122.7892495,76.6373289,0
No Damage,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,2.408561945,,38.6043542,-122.7846612,76.6373289,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1987,,,38.5862664,-122.8272418,76.58212095,0
No Damage,95448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1971,,1,38.61090245,-122.7716352,76.46789887,0
No Damage,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,38.63906554,-122.6806451,76.46339303,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1991,,1,38.56049465,-122.7945397,76.46339303,0
No Damage,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1959,0.340062052,,38.62571125,-122.7705517,76.27774444,0
No Damage,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1948,0.337405771,,38.6259911,-122.7703411,75.71149573,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1989,,,38.55608605,-122.7868773,75.46356016,0
No Damage,95448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,38.58791495,-122.8373155,74.93243494,0
No Damage,95448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1997,,,38.66709841,-122.8073435,74.93243494,0
Affected (1-9%),95492,Asphalt,Unenclosed,No Vents,Stucco/Brick/Cement,Multi Pane,Masonry/Concrete,Wood,No Patio Cover/Carport,No Fence,1989,,,38.5559281,-122.7872353,74.4571409,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1942,,,38.60471654,-122.7764498,73.73078002,0
Destroyed (>50%),95433,Metal,Unknown,Unscreened,Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,,0.483121276,,38.6767749,-122.7375198,73.506372,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1991,,,38.5608229,-122.7944976,73.16461143,0
No Damage,95448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,38.647808,-122.780327,73.11865985,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2000,,,38.55532375,-122.7871614,73.11865985,0
Destroyed (>50%),,Metal,Unknown,No Vents,Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,2010,,,38.62259051,-122.7893499,72.86414816,0
Destroyed (>50%),,Metal,Unknown,"Mesh Screen > 1/8""",Wood,No Windows,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,2010,,,38.62231285,-122.7892096,72.6978495,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1997,,,38.5616838,-122.7982898,72.6978495,0
No Damage,95448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,38.62612907,-122.8364024,72.51574359,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1991,,,38.56104415,-122.7942347,72.51574359,0
No Damage,95433,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,38.6324602,-122.6741262,72.25557013,0
