DAMAGE,ZIPCODE,ROOFCONSTRUCTION,EAVES,VENTSCREEN,EXTERIORSIDING,WINDOWPANE,DECKPORCHONGRADE,DECKPORCHELEVATED,PATIOCOVER,FENCE,YEARBUILT,LATITUDE,LONGITUDE,EMBER,FLAME,Distance,VSD
Affected (1-9%),,Asphalt,Unenclosed,"Mesh Screen <= 1/8""",Wood,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,,38.55108742,-122.4733787,1,0.821217537,24.36384593,3
No Damage,,Asphalt,Enclosed,No Vents,Stucco Brick Cement,No Windows,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,,38.54078239,-122.4694881,,1.113907099,59.58300717,3
No Damage,,Unknown,Unknown,Unknown,Unknown,Single Pane,Unknown,Unknown,Unknown,No Fence,,38.55096499,-122.47337,,0.821217537,24.36384593,3
No Damage,,Metal,Unenclosed,No Vents,Wood,No Windows,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,1972,38.4447586,-122.6005604,,0.698367059,222.9613892,3
No Damage,,Metal,No Eaves,"Mesh Screen > 1/8""",Metal,Multi Pane,No Deck/Porch,No Deck/Porch,Non Combustible,Non Combustible,2016,38.44688969,-122.6021893,,0.560640991,331.4607826,3
No Damage,,Asphalt,Unenclosed,"Mesh Screen <= 1/8""",Wood,Multi Pane,Wood,Wood,No Patio Cover/Carport,No Fence,,38.51988192,-122.461877,5,1.62836206,164.2349091,3
Affected (1-9%),,Asphalt,No Eaves,No Vents,Stucco Brick Cement,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,2008,38.44165752,-122.5794692,,1.695928454,110.7562512,3
No Damage,,Wood,No Eaves,"Mesh Screen > 1/8""",Wood,Multi Pane,Masonry/Concrete,Wood,No Patio Cover/Carport,No Fence,1972,38.4446891,-122.6014095,,,48.78473023,3
Affected (1-9%),,Asphalt,Enclosed,"Mesh Screen <= 1/8""",Stucco Brick Cement,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,2008,38.44050191,-122.5791519,,,243.1430993,3
No Damage,,Tile,Unenclosed,"Mesh Screen <= 1/8""",Wood,Multi Pane,Wood,Wood,Combustible,Combustible,1978,38.44914216,-122.6116681,1,2.345453024,80.08825715,3
No Damage,,Metal,No Eaves,"Mesh Screen > 1/8""",Metal,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,2008,38.44100151,-122.5798873,1,,146.7709703,3
No Damage,,Asphalt,Enclosed,"Mesh Screen <= 1/8""",Wood,Multi Pane,Masonry/Concrete,Wood,No Patio Cover/Carport,No Fence,1941,38.53974637,-122.469237,,1.059535265,59.90288906,3
No Damage,,Metal,Enclosed,No Vents,Wood,Single Pane,Masonry/Concrete,Wood,No Patio Cover/Carport,No Fence,1941,38.53994492,-122.4693157,1,2.725624561,48.51804617,3
No Damage,,Metal,Unenclosed,No Vents,Stucco Brick Cement,Single Pane,Masonry/Concrete,Wood,Combustible,No Fence,1952,38.5497801,-122.4730427,,1.395329833,189.7179218,3
No Damage,,Metal,No Eaves,No Vents,Wood,Multi Pane,Masonry/Concrete,Unknown,No Patio Cover/Carport,No Fence,1972,38.44485301,-122.6012599,,,48.78473023,3
