DAMAGE,ZIPCODE,ROOFCONSTR,EAVES,VENTSCREEN,EXTERIORSI,WINDOWPANE,VSD ,YEARBUILT,Distance,EMBER,FLAME,LATITUDE,LONGITUDE
Destroyed (>50%),,Fire Resistant,Unknown,Unknown,Fire Resistant,Single Pane,1,1962,0,0,,34.2930277,-119.2070997
Destroyed (>50%),,Fire Resistant,Unknown,Unknown,Fire Resistant,Single Pane,1,1962,0,0,,34.2930277,-119.2070997
Destroyed (>50%),,Fire Resistant,Unknown,Unknown,Fire Resistant,Multi Pane,1,1962,17.54000865,0.011258002,7.981162071,34.2925648,-119.2083596
No Damage,,,,,,,1,,8.654232296,0,,34.32951622,-119.2901932
Destroyed (>50%),,Fire Resistant,Unknown,Unknown,Fire Resistant,Multi Pane,1,2009,11.59001316,0,3.64712739,34.2931996,-119.2118054
Destroyed (>50%),,Fire Resistant,Unknown,Unknown,Fire Resistant,Single Pane,1,1961,48.85640665,0,8.969396591,34.2932198,-119.2066527
Destroyed (>50%),,Fire Resistant,Unknown,Unknown,Fire Resistant,Single Pane,1,1965,37.44353618,0,3.675559759,34.2927669,-119.2119646
Destroyed (>50%),,Fire Resistant,Unknown,Unknown,Fire Resistant,Multi Pane,1,1962,26.27204604,0.231196696,7.981162071,34.2928263,-119.20846
Destroyed (>50%),,Fire Resistant,Unenclosed,Screened,Fire Resistant,Single Pane,1,1977,17.63533551,0.180532769,0.590342045,34.2932449,-119.2033971
Destroyed (>50%),,Fire Resistant,Unknown,Unknown,Fire Resistant,Single Pane,1,1962,23.41468878,0,5.957640171,34.2937279,-119.2061714
No Damage,93001,,,,,,1,,8.556946977,0.105678236,,34.370897,-119.3049203
No Damage,,,,,,,1,,11.92707989,0,,34.3709055,-119.3049214
No Damage,,,,,,,1,,8.556946977,0.200433417,,34.370948,-119.304927
Destroyed (>50%),,Fire Resistant,Enclosed,Unknown,Fire Resistant,Single Pane,1,1962,24.49709975,0.184987522,,34.2935121,-119.2067677
No Damage,,,,,,,1,,23.71650413,0,,34.371232,-119.304967
No Damage,,,,,,,1,,7.178572802,0.268391588,,34.37133099,-119.3049773
Destroyed (>50%),,Fire Resistant,Unknown,Unknown,Fire Resistant,Multi Pane,1,1962,28.71005464,0,,34.2930463,-119.2085372
No Damage,,,,,,,1,,19.40075691,0.246871745,,34.37148928,-119.3049948
Destroyed (>50%),,Fire Resistant,Unknown,Unknown,Fire Resistant,Multi Pane,1,1962,28.1306849,0.298889567,9.014502525,34.2929324,-119.2090904
Affected (1-9%),,Fire Resistant,Enclosed,Screened,Fire Resistant,Multi Pane,1,1977,14.48348093,0.153797607,,34.2932556,-119.2036693
No Damage,,,,,,,1,,4.882045198,0,,34.37191564,-119.3050431
No Damage,,,,,,,1,,4.882045198,0,,34.37202175,-119.3050556
Minor (10-25%),,Fire Resistant,Enclosed,No Vents,Combustible,Multi Pane,1,1982,994.4157492,0,,34.450084,-119.612979
Destroyed (>50%),,Fire Resistant,Enclosed,Screened,Fire Resistant,Multi Pane,1,1978,48.54369312,0.302671577,2.341132402,34.29346,-119.2021259
No Damage,,,,,,,1,,11.04202736,0,,34.37261287,-119.305126
Destroyed (>50%),,Fire Resistant,Enclosed,Unknown,Fire Resistant,Unknown,1,1978,78.24296792,0.302675917,7.984301567,34.2929712,-119.2043145
Destroyed (>50%),,Fire Resistant,Unknown,Screened,Fire Resistant,Single Pane,1,1978,41.92087879,0.212722982,8.625450134,34.2933991,-119.2014983
Destroyed (>50%),,Fire Resistant,Unknown,Unknown,Fire Resistant,Multi Pane,1,1965,40.35882403,0,3.425219297,34.2928448,-119.2123141
Destroyed (>50%),,Fire Resistant,Unknown,Unknown,Fire Resistant,Single Pane,1,1962,23.76971826,0,8.125647545,34.2935569,-119.2072461
Destroyed (>50%),,Fire Resistant,Unknown,Unknown,Fire Resistant,Multi Pane,1,1962,15.93081397,0.094560547,8.637649536,34.2931625,-119.2091718
Affected (1-9%),,Fire Resistant,Enclosed,No Vents,Fire Resistant,Single Pane,1,1978,16.70554883,0.084073486,8.178573608,34.2935487,-119.204181
Destroyed (>50%),,Fire Resistant,Unknown,Unknown,Fire Resistant,Multi Pane,1,1962,24.49709975,0,,34.2937734,-119.2068539
Destroyed (>50%),,Fire Resistant,Unknown,Unknown,Fire Resistant,Single Pane,1,1962,23.41468878,0,,34.2939836,-119.206301
Destroyed (>50%),,Fire Resistant,Enclosed,Unknown,Fire Resistant,Single Pane,1,1962,17.66053386,0,1.251708865,34.2940786,-119.2058467
Destroyed (>50%),,Fire Resistant,Enclosed,Unknown,Fire Resistant,Unknown,1,1978,50.91220707,0.089085151,8.034333229,34.2935819,-119.2047474
Destroyed (>50%),,Fire Resistant,Enclosed,Screened,Fire Resistant,Multi Pane,1,1978,62.75593712,0.302669271,,34.2937924,-119.2019806
No Damage,,,,,,,1,,7.045623362,0.284400635,8.650606155,34.2937865,-119.2073373
Destroyed (>50%),,Fire Resistant,Unknown,Unknown,Fire Resistant,Multi Pane,1,1962,2.117961413,0.302672662,,34.2935406,-119.2086028
Destroyed (>50%),,Fire Resistant,Unknown,Unknown,Fire Resistant,Unknown,1,1962,2.117961413,0.294748671,8.36600399,34.2935406,-119.2086028
Destroyed (>50%),,Fire Resistant,Unknown,Screened,Fire Resistant,Multi Pane,1,1962,0,0.145406698,9.445698738,34.294031,-119.2069446
